Stake	Date	Date1	Latitude	Longitude	Elevation	Days	SMB	SMB1	SMB_diff
R2	2009-01-17	2009-01-09	-62.176362982600004	-58.8985039891	116.0	8	-0.2032	3.51	-0.23829999999999998
R2	2009-01-24	2009-01-17	-62.176362982600004	-58.8985039891	116.0	7	-0.2812	-20.32	-0.07800000000000001
R2	2009-01-30	2009-01-24	-62.176362982600004	-58.8985039891	116.0	6	-0.5002	-28.12	-0.21900000000000003
R2	2009-01-31	2009-01-30	-62.176362982600004	-58.8985039891	116.0	1	-0.5362	-50.02	-0.03599999999999994
R2	2009-02-06	2009-01-31	-62.176362982600004	-58.8985039891	116.0	6	-0.5602	-53.62	-0.024000000000000056
R2	2009-02-13	2009-02-06	-62.176362982600004	-58.8985039891	116.0	7	-0.8331999999999999	-56.02	-0.2729999999999999
R2	2009-02-21	2009-02-13	-62.176362982600004	-58.8985039891	116.0	8	-0.8692	-83.32	-0.03600000000000009
R2	2009-02-28	2009-02-21	-62.176362982600004	-58.8985039891	116.0	7	-1.0672	-86.92	-0.19799999999999998
R2	2009-03-01	2009-02-28	-62.176362982600004	-58.8985039891	116.0	1	-1.0852	-106.72	-0.01799999999999997
R2	2009-03-27	2009-03-01	-62.176362982600004	-58.8985039891	116.0	26	1.4991999999999999	-108.52	2.5844
